iter	Passed	Remaining
0	83	82948
1	94	46949
2	104	34755
3	115	28679
4	124	24843
5	137	22839
6	149	21258
7	157	19564
8	169	18630
9	180	17879
10	190	17145
11	206	16975
12	226	17221
13	239	16880
14	251	16498
15	262	16140
16	273	15812
17	284	15526
18	295	15241
19	304	14935
20	319	14905
21	327	14545
22	334	14219
23	341	13907
24	351	13718
25	358	13428
26	365	13169
27	372	12923
28	379	12693
29	387	12543
30	395	12354
31	402	12177
32	409	11997
33	417	11849
34	424	11696
35	431	11551
36	438	11421
37	448	11342
38	455	11213
39	462	11091
40	468	10967
41	478	10915
42	485	10813
43	492	10702
44	499	10608
45	513	10658
46	521	10567
47	528	10477
48	535	10394
49	543	10318
50	550	10242
51	557	10165
52	563	10062
53	570	9994
54	583	10023
55	590	9954
56	598	9906
57	606	9848
58	613	9787
59	621	9729
60	628	9674
61	636	9623
62	643	9576
63	651	9523
64	660	9497
65	668	9457
66	676	9422
67	684	9383
68	691	9332
69	698	9284
70	717	9394
71	725	9346
72	732	9300
73	738	9243
74	746	9203
75	753	9160
76	759	9106
77	767	9066
78	774	9026
79	781	8987
80	788	8951
81	796	8919
82	806	8907
83	813	8866
84	820	8827
85	829	8816
86	837	8785
87	845	8757
88	852	8722
89	859	8695
90	867	8663
91	879	8675
92	886	8648
93	894	8622
94	901	8591
95	909	8567
96	916	8532
97	926	8525
98	933	8498
99	942	8481
100	950	8456
101	957	8430
102	965	8405
103	973	8388
104	980	8359
105	989	8347
106	996	8318
107	1004	8294
108	1011	8265
109	1017	8234
110	1024	8208
111	1033	8197
112	1043	8189
113	1051	8172
114	1061	8166
115	1071	8168
116	1079	8144
117	1086	8123
118	1094	8100
119	1101	8080
120	1110	8066
121	1117	8044
122	1126	8028
123	1134	8013
124	1141	7990
