iter	Passed	Remaining
0	63	63033
1	67	33730
2	72	23957
3	79	19673
4	83	16647
5	88	14652
6	94	13443
7	98	12264
8	103	11431
9	110	10942
10	114	10314
11	117	9640
12	121	9206
13	124	8785
14	127	8374
15	130	8012
16	131	7603
17	134	7313
18	137	7105
19	141	6927
20	145	6767
21	146	6530
22	151	6421
23	156	6372
24	160	6268
25	163	6124
26	167	6033
27	173	6025
28	178	5981
29	180	5837
30	184	5770
31	188	5687
32	190	5594
33	193	5505
34	195	5390
35	199	5334
36	202	5262
37	205	5213
38	208	5140
39	210	5048
40	212	4962
41	215	4917
42	219	4890
43	222	4829
44	224	4771
45	226	4698
46	230	4665
47	234	4649
48	238	4619
49	242	4601
50	246	4589
51	250	4575
52	254	4551
53	258	4527
54	263	4531
55	268	4524
56	273	4517
57	275	4475
58	281	4482
59	285	4477
60	289	4459
61	295	4477
62	301	4477
63	305	4465
64	308	4441
65	313	4431
66	316	4410
67	321	4407
68	325	4394
69	329	4381
70	333	4368
71	336	4339
72	339	4311
73	344	4306
74	348	4295
75	351	4271
76	353	4233
77	355	4197
78	359	4189
79	363	4176
80	365	4152
81	367	4119
82	370	4089
83	374	4088
84	378	4073
85	381	4054
86	384	4037
87	390	4046
88	396	4060
89	400	4053
90	407	4069
91	412	4066
92	415	4052
93	418	4030
94	420	4008
95	424	4001
96	427	3984
97	431	3969
98	434	3956
99	438	3949
100	442	3935
101	445	3920
102	448	3901
103	449	3876
104	453	3865
105	457	3858
106	460	3841
107	463	3825
108	464	3800
109	469	3800
110	475	3806
111	481	3814
112	487	3825
113	494	3840
114	498	3837
115	503	3838
116	509	3842
117	513	3836
118	519	3846
119	527	3866
120	545	3960
121	552	3974
122	559	3986
123	563	3984
124	574	4018
125	580	4029
126	589	4055
127	595	4056
128	600	4051
129	605	4052
130	610	4046
131	615	4048
132	623	4062
133	633	4093
134	641	4112
135	648	4120
136	657	4138
137	663	4142
138	667	4134
139	672	4129
140	676	4122
141	680	4110
142	683	4095
143	687	4085
144	692	4083
145	699	4094
146	706	4099
147	712	4102
148	717	4096
149	720	4082
150	725	4077
151	729	4071
152	735	4070
153	741	4071
154	745	4062
155	752	4069
156	759	4075
157	765	4077
158	769	4068
159	774	4066
160	780	4068
161	785	4063
162	792	4069
163	798	4072
164	802	4060
165	805	4048
166	808	4032
167	814	4031
168	818	4023
169	820	4007
170	823	3993
