iter	Passed	Remaining
0	51	51172
1	53	26886
2	56	18705
3	62	15478
4	66	13308
5	70	11696
6	73	10411
7	75	9344
8	77	8577
9	81	8041
10	85	7727
11	89	7340
12	92	7010
13	95	6742
14	98	6470
15	103	6336
16	104	6056
17	106	5807
18	108	5611
19	111	5461
20	115	5364
21	117	5226
22	120	5109
23	126	5124
24	129	5061
25	135	5092
26	141	5082
27	145	5048
28	149	5022
29	155	5023
30	157	4938
31	162	4906
32	165	4844
33	168	4775
34	170	4688
35	173	4654
36	176	4590
37	179	4554
38	183	4514
39	185	4443
40	189	4424
41	191	4374
42	195	4360
43	198	4321
44	200	4259
45	205	4261
46	209	4244
47	212	4211
48	215	4180
49	217	4133
50	221	4115
51	224	4084
52	227	4060
53	229	4027
54	231	3983
55	235	3972
56	238	3938
57	242	3930
58	245	3913
59	247	3872
60	250	3853
61	257	3893
62	264	3936
63	268	3930
64	274	3952
65	279	3960
66	286	3985
67	291	3997
68	294	3975
69	297	3952
70	299	3923
71	302	3893
72	306	3896
73	309	3876
74	311	3844
75	316	3849
76	319	3833
77	323	3826
78	326	3811
79	331	3807
80	333	3787
81	337	3778
82	340	3761
83	342	3733
84	344	3704
85	349	3710
86	354	3721
87	358	3719
88	361	3701
89	364	3684
90	368	3680
91	371	3666
92	374	3647
93	376	3624
94	380	3621
95	383	3613
96	387	3603
97	389	3584
98	391	3562
99	397	3574
100	403	3593
101	406	3578
102	410	3577
103	413	3564
104	417	3556
105	420	3543
106	422	3523
107	427	3527
108	430	3520
109	433	3508
110	436	3495
111	438	3474
112	440	3460
113	443	3443
114	446	3438
115	451	3437
116	454	3432
117	457	3419
118	460	3408
119	465	3410
120	468	3407
121	475	3424
122	480	3422
123	491	3471
124	504	3529
125	509	3531
126	515	3544
127	524	3572
128	528	3568
129	535	3580
130	542	3595
131	551	3624
132	556	3628
133	573	3705
134	579	3713
135	586	3724
136	591	3725
137	598	3740
138	605	3748
139	612	3760
140	617	3764
141	622	3762
142	629	3773
143	636	3784
144	640	3775
145	646	3782
146	649	3768
147	651	3748
148	653	3731
149	655	3713
150	657	3697
151	665	3711
152	668	3700
153	672	3694
154	678	3699
155	682	3693
156	686	3686
157	692	3691
158	697	3690
159	702	3688
160	708	3690
161	713	3688
162	718	3687
163	731	3728
164	736	3727
165	742	3732
166	748	3732
167	751	3721
168	756	3717
169	759	3708
170	761	3690
171	763	3673
172	766	3663
173	769	3650
174	774	3649
175	776	3637
176	778	3621
177	781	3608
178	785	3604
179	791	3605
180	793	3591
181	796	3580
182	799	3571
183	805	3570
184	808	3562
185	810	3547
186	813	3535
187	816	3528
188	824	3538
189	830	3538
190	835	3540
191	839	3534
192	842	3521
193	845	3511
194	847	3500
195	852	3495
196	855	3488
197	858	3476
198	861	3467
199	863	3454
200	868	3451
201	872	3445
202	874	3434
203	877	3422
204	879	3410
205	884	3409
206	888	3403
207	891	3394
208	893	3382
209	897	3375
210	902	3373
211	906	3369
212	908	3358
213	914	3357
214	921	3364
215	927	3367
216	933	3366
217	936	3360
218	940	3354
219	942	3342
220	947	3339
221	951	3335
222	953	3323
223	956	3313
224	961	3312
225	966	3309
226	969	3300
227	972	3291
228	974	3282
229	979	3279
230	982	3272
231	984	3260
232	988	3252
233	990	3241
234	995	3239
235	998	3231
236	999	3219
237	1002	3208
238	1004	3199
239	1008	3193
240	1013	3191
241	1016	3183
242	1019	3177
243	1024	3174
244	1029	3171
245	1031	3161
246	1033	3151
247	1035	3141
248	1039	3133
249	1044	3132
250	1047	3124
251	1049	3114
252	1051	3104
253	1054	3098
254	1060	3097
255	1062	3086
256	1064	3077
257	1067	3069
258	1071	3066
259	1075	3061
260	1079	3056
261	1085	3057
262	1103	3091
263	1118	3118
264	1127	3127
265	1132	3125
266	1135	3118
267	1141	3116
268	1145	3112
269	1151	3114
270	1157	3114
271	1161	3109
272	1164	3100
273	1168	3094
274	1173	3092
275	1175	3082
276	1177	3073
277	1180	3065
278	1185	3063
279	1189	3059
280	1194	3055
281	1209	3078
282	1214	3077
283	1220	3076
284	1223	3069
285	1225	3059
286	1228	3051
287	1231	3044
288	1236	3040
289	1238	3033
290	1240	3023
291	1243	3014
292	1245	3005
293	1252	3008
294	1257	3006
295	1263	3004
296	1269	3006
297	1272	2996
298	1274	2988
299	1277	2980
300	1282	2978
301	1286	2972
302	1288	2963
303	1290	2954
304	1294	2949
305	1299	2947
306	1302	2939
307	1305	2932
308	1307	2924
309	1312	2921
310	1317	2918
311	1319	2909
312	1321	2901
313	1324	2893
314	1330	2893
315	1333	2885
316	1335	2876
317	1337	2868
318	1340	2860
319	1344	2857
320	1348	2851
321	1350	2843
322	1353	2837
323	1356	2830
324	1361	2828
325	1365	2822
326	1367	2815
327	1370	2807
328	1373	2802
329	1378	2799
330	1382	2793
331	1387	2791
332	1392	2789
333	1397	2786
334	1400	2780
335	1406	2778
336	1411	2776
337	1415	2772
338	1420	2770
339	1426	2769
340	1430	2763
341	1433	2758
342	1442	2762
343	1446	2758
344	1451	2756
345	1458	2757
346	1462	2752
347	1466	2748
348	1473	2749
349	1477	2744
350	1481	2739
351	1489	2741
352	1494	2738
353	1497	2732
354	1499	2724
355	1503	2719
356	1506	2714
357	1508	2706
358	1510	2697
359	1513	2690
360	1516	2683
361	1521	2680
362	1524	2674
363	1526	2666
364	1528	2659
365	1531	2652
366	1535	2648
367	1539	2644
368	1541	2636
369	1543	2628
370	1547	2623
371	1552	2621
372	1555	2615
373	1557	2607
374	1560	2600
375	1563	2593
376	1567	2590
377	1571	2585
378	1573	2578
379	1575	2570
380	1578	2564
381	1583	2561
382	1586	2556
383	1588	2548
384	1590	2540
385	1593	2534
386	1596	2529
387	1601	2525
388	1604	2519
389	1606	2512
390	1608	2505
391	1611	2499
392	1616	2496
393	1619	2491
394	1621	2483
395	1624	2477
396	1626	2470
397	1631	2467
398	1634	2462
399	1636	2455
400	1639	2449
401	1642	2443
402	1647	2440
403	1650	2434
404	1652	2427
405	1655	2421
406	1657	2415
407	1662	2411
408	1665	2407
409	1667	2400
410	1670	2393
411	1672	2386
412	1679	2387
413	1687	2388
414	1689	2381
415	1694	2379
416	1698	2374
417	1701	2368
418	1704	2362
